level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2558	827	-1	
2	1	1	0	0	0	56	0	2479	645	-1	
3	1	1	1	0	0	56	0	2479	645	-1	
4	1	1	1	1	0	1365	0	1169	23	-1	
5	1	1	1	1	1	1365	0	44	15	62.093422	ALLO
5	1	1	1	1	2	1419	0	95	23	23.143074	Pee
5	1	1	1	1	3	1526	0	118	23	3.937950	Vinay
5	1	1	1	1	4	1657	0	43	14	62.250877	SUE
5	1	1	1	1	5	1714	0	45	14	0.000000	VLE
5	1	1	1	1	6	1779	0	28	14	0.000000	DD
5	1	1	1	1	7	1822	0	56	14	37.530704	GUA
5	1	1	1	1	8	1888	0	49	14	5.341629	LIL
5	1	1	1	1	9	1948	0	80	14	0.000000	Leciio.
5	1	1	1	1	10	2045	0	11	14	55.507526	2
5	1	1	1	1	11	2062	0	68	14	4.478912	daw
5	1	1	1	1	12	2140	0	86	23	26.189133	HALAL
5	1	1	1	1	13	2232	0	24	14	29.330452	A
5	1	1	1	1	14	2282	0	69	14	42.136417	LEE
5	1	1	1	1	15	2533	0	1	15	87.835022	i
4	1	1	1	2	0	551	26	1800	60	-1	
5	1	1	1	2	1	551	52	102	24	95.931770	TABLE
5	1	1	1	2	2	665	53	16	23	66.112175	2
5	1	1	1	2	3	710	52	106	24	89.355995	Tensile
5	1	1	1	2	4	829	52	210	31	95.405731	Requirements
5	1	1	1	2	5	1367	27	72	59	88.863632	shall
5	1	1	1	2	6	1451	31	38	29	96.864014	be
5	1	1	1	2	7	1501	32	146	33	95.065704	removed,
5	1	1	1	2	8	1662	31	55	29	96.734200	and
5	1	1	1	2	9	1726	27	76	59	96.672707	their
5	1	1	1	2	10	1813	27	129	43	96.329948	removal
5	1	1	1	2	11	1956	26	119	60	96.371536	verified
5	1	1	1	2	12	2087	31	37	37	96.757301	by
5	1	1	1	2	13	2137	27	90	59	93.238152	visual
5	1	1	1	2	14	2241	40	110	42	92.764282	inspec-
4	1	1	1	3	0	296	76	2238	38	-1	
5	1	1	1	3	1	292	72	96	48	0.000000	en
5	1	1	1	3	2	296	90	999	8	0.000000	nennetnnenememrenncmnnmninineenccenntneneneerennnennneennneen
5	1	1	1	3	3	1365	81	60	25	33.875183	tion
5	1	1	1	3	4	1438	77	34	29	96.494484	of
5	1	1	1	3	5	1481	78	48	28	96.494484	the
5	1	1	1	3	6	1540	77	136	29	96.823044	resultant
5	1	1	1	3	7	1688	81	127	25	96.736473	cavities.
5	1	1	1	3	8	1828	77	218	37	94.346992	Imperfections
5	1	1	1	3	9	2058	76	111	30	96.590645	located
5	1	1	1	3	10	2180	77	37	37	93.285675	by
5	1	1	1	3	11	2229	81	122	33	91.443710	inspect-
4	1	1	1	4	0	697	105	1160	23	-1	
5	1	1	1	4	1	697	106	65	22	91.599991	WCA
5	1	1	1	4	2	923	105	65	23	95.681274	WCB
5	1	1	1	4	3	1148	105	66	23	58.871109	wcc
5	1	1	1	4	4	1368	123	5	5	3.496796	:
5	1	1	1	4	5	1461	123	4	5	18.905037	.
5	1	1	1	4	6	1852	123	5	5	0.000000	.
4	1	1	1	5	0	617	122	1735	39	-1	
5	1	1	1	5	1	617	132	797	30	6.761688	ing
5	1	1	1	5	2	1430	123	69	29	96.377892	with
5	1	1	1	5	3	1515	123	236	38	96.012115	Supplementary
5	1	1	1	5	4	1766	123	219	37	96.490051	Requirements
5	1	1	1	5	5	2001	122	47	34	79.237701	$7,
5	1	1	1	5	6	2066	122	48	34	72.342033	S8,
5	1	1	1	5	7	2130	131	31	20	92.589775	or
5	1	1	1	5	8	2176	123	38	29	82.344833	S9
5	1	1	1	5	9	2230	122	71	29	96.007370	shall
5	1	1	1	5	10	2315	122	37	29	96.585312	be
4	1	1	1	6	0	296	157	1747	48	-1	
5	1	1	1	6	1	296	157	999	41	0.000000	MPa
5	1	1	1	6	2	870	153	52	56	14.448502	ksi
5	1	1	1	6	3	959	153	103	56	15.993927	MPa
5	1	1	1	6	4	1099	153	94	56	4.325806	ksi__
5	1	1	1	6	5	1206	153	104	56	9.448456	MPa
5	1	1	1	6	6	1366	169	138	28	47.575283	removed
5	1	1	1	6	7	1517	177	33	20	96.738785	or
5	1	1	1	6	8	1562	168	124	29	96.642532	reduced
5	1	1	1	6	9	1701	173	29	24	96.896347	to
5	1	1	1	6	10	1745	177	34	20	96.896347	an
5	1	1	1	6	11	1796	168	165	37	96.803848	acceptable
5	1	1	1	6	12	1976	168	67	29	96.850098	size.
4	1	1	1	7	0	298	210	1982	28	-1	
5	1	1	1	7	1	298	210	87	22	96.134171	Tensile
5	1	1	1	7	2	395	210	106	28	96.967911	strength,
5	1	1	1	7	3	513	211	41	21	96.967911	min
5	1	1	1	7	4	653	211	30	21	96.084160	60
5	1	1	1	7	5	758	211	46	21	81.194084	414
5	1	1	1	7	6	880	211	30	21	96.870163	70
5	1	1	1	7	7	986	210	44	21	96.480133	483
5	1	1	1	7	8	1105	211	30	20	76.048889	70
5	1	1	1	7	9	1211	210	45	21	96.314499	483
5	1	1	1	7	10	1407	218	2	2	30.857910	;
5	1	1	1	7	11	1588	216	100	19	28.602104	nf
5	1	1	1	7	12	1890	223	12	3	79.253639	£
5	1	1	1	7	13	1996	214	5	5	0.000000	:
5	1	1	1	7	14	2071	224	2	3	0.000000	;
5	1	1	1	7	15	2145	214	4	5	0.000000	‘
5	1	1	1	7	16	2274	223	6	6	0.000000	.
4	1	1	1	8	0	299	210	2054	62	-1	
5	1	1	1	8	1	299	244	60	23	93.547295	Yield
5	1	1	1	8	2	370	244	106	28	64.394516	strength,
5	1	1	1	8	3	488	245	42	21	46.080597	rnin
5	1	1	1	8	4	654	245	29	21	33.605560	30
5	1	1	1	8	5	759	245	150	21	33.605560	«20?
5	1	1	1	8	6	986	244	44	21	0.000000	348
5	1	1	1	8	7	1106	244	150	22	0.000000	tOSC«T
5	1	1	1	8	8	1408	214	62	51	78.377045	11.2
5	1	1	1	8	9	1490	210	142	46	70.694183	Blending.
5	1	1	1	8	10	1672	214	29	51	69.255692	Tf
5	1	1	1	8	11	1712	214	137	50	84.421577	Temoval
5	1	1	1	8	12	1870	214	35	29	96.782509	of
5	1	1	1	8	13	1922	214	50	51	97.005333	the
5	1	1	1	8	14	1994	210	197	46	96.578598	imperfection
5	1	1	1	8	15	2212	214	69	51	96.961403	does
5	1	1	1	8	16	2303	217	50	25	96.820290	not
4	1	1	1	9	0	296	259	2057	38	-1	
5	1	1	1	9	1	296	279	1000	22	42.457848	eS
5	1	1	1	9	2	1291	255	47	50	40.389526	_
5	1	1	1	9	3	1367	260	124	37	69.191864	infringe
5	1	1	1	9	4	1501	269	77	28	96.573601	upon
5	1	1	1	9	5	1590	260	47	29	96.758202	the
5	1	1	1	9	6	1648	268	153	20	95.621521	minimum
5	1	1	1	9	7	1812	259	65	29	95.797432	wall
5	1	1	1	9	8	1889	259	154	34	96.104958	thickness,
5	1	1	1	9	9	2055	260	47	28	96.926140	the
5	1	1	1	9	10	2113	259	163	37	96.980896	depression
5	1	1	1	9	11	2286	268	67	28	96.980896	may
4	1	1	1	10	0	301	292	1882	64	-1	
5	1	1	1	10	1	301	292	133	64	88.735748	Elongation
5	1	1	1	10	2	441	297	45	55	36.438454	ne
5	1	1	1	10	3	497	301	26	17	52.827606	in
5	1	1	1	10	4	534	301	24	17	59.989223	or
5	1	1	1	10	5	567	297	29	22	55.250824	80
5	1	1	1	10	6	715	296	30	22	67.947533	a4
5	1	1	1	10	7	942	296	30	21	82.441254	22
5	1	1	1	10	8	1167	296	30	21	92.674416	22
5	1	1	1	10	9	1367	305	36	29	96.895622	be
5	1	1	1	10	10	1416	305	126	29	96.447891	blended
5	1	1	1	10	11	1555	305	157	37	96.487747	uniformly
5	1	1	1	10	12	1726	305	60	29	96.883781	into
5	1	1	1	10	13	1800	306	48	28	96.551056	the
5	1	1	1	10	14	1862	305	189	36	95.518059	surrounding
5	1	1	1	10	15	2066	305	117	29	87.407280	surface.
4	1	1	1	11	0	292	343	2059	51	-1	
5	1	1	1	11	1	292	343	68	51	8.756882	—_—
5	1	1	1	11	2	1408	352	61	28	90.685837	11.3
5	1	1	1	11	3	1490	352	109	36	92.139877	Repair
5	1	1	1	11	4	1614	352	36	36	93.107208	by
5	1	1	1	11	5	1669	350	381	38	39.192818	Welding—Imperfections
5	1	1	1	11	6	2066	351	58	29	96.863312	that
5	1	1	1	11	7	2139	351	122	37	96.341690	infringe
5	1	1	1	11	8	2276	359	75	29	96.473640	upon
4	1	1	1	12	0	300	382	2011	26	-1	
5	1	1	1	12	1	300	382	123	22	96.690231	Reduction
5	1	1	1	12	2	434	382	23	22	96.482872	of
5	1	1	1	12	3	467	387	60	21	95.888092	area,
5	1	1	1	12	4	538	387	50	20	95.971748	min,
5	1	1	1	12	5	715	382	30	21	96.416588	35
5	1	1	1	12	6	942	382	30	21	92.185997	35
5	1	1	1	12	7	1167	382	30	21	94.646065	35
5	1	1	1	12	8	1471	397	34	5	23.141785	ws
5	1	1	1	12	9	1735	397	5	4	36.510208	:
5	1	1	1	12	10	2090	396	5	5	33.734573	:
5	1	1	1	12	11	2306	396	5	6	14.143143	.
4	1	1	1	13	0	56	396	2479	45	-1	
5	1	1	1	13	1	56	413	6	28	18.045769	f
5	1	1	1	13	2	300	416	23	21	70.016251	%
5	1	1	1	13	3	1367	397	47	28	96.499184	the
5	1	1	1	13	4	1437	405	153	21	96.317421	minimum
5	1	1	1	13	5	1612	397	68	29	95.361343	wall
