level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2491	878	-1	
2	1	1	0	0	0	91	2	2245	531	-1	
3	1	1	1	0	0	277	2	373	28	-1	
4	1	1	1	1	0	277	2	373	28	-1	
5	1	1	1	1	1	277	3	29	21	96.886673	be
5	1	1	1	1	2	316	3	47	21	96.346191	that
5	1	1	1	1	3	373	2	22	22	96.977081	of
5	1	1	1	1	4	404	3	38	21	96.317719	the
5	1	1	1	1	5	454	4	51	20	96.317719	next
5	1	1	1	1	6	515	3	69	27	96.878662	larger
5	1	1	1	1	7	594	2	56	22	96.758217	wire.
3	1	1	2	0	0	278	33	1815	46	-1	
4	1	1	2	1	0	278	33	1815	46	-1	
5	1	1	2	1	1	278	33	15	14	77.556351	D«
5	1	1	2	1	2	329	36	32	22	55.427734	|”
5	1	1	2	1	3	373	36	108	22	87.864059	Indicates
5	1	1	2	1	4	492	41	29	17	96.147285	no
5	1	1	2	1	5	532	36	109	22	96.464249	minimum
5	1	1	2	1	6	653	36	153	27	96.221809	requirement.
5	1	1	2	1	7	1591	48	103	24	96.443581	TABLE
5	1	1	2	1	8	1706	48	15	24	96.443581	2
5	1	1	2	1	9	1734	48	136	25	96.833832	Chemical
5	1	1	2	1	10	1884	48	209	31	95.969833	Requirements
3	1	1	3	0	0	73	87	2263	446	-1	
4	1	1	3	1	0	1346	87	989	45	-1	
5	1	1	3	1	1	1342	82	131	54	35.527809	~__UNS
5	1	1	3	1	2	1486	82	158	54	93.015434	Designation
5	1	1	3	1	3	1346	87	989	45	0.000000	G92540_~~Ss*~*~‘~*é‘ade
5	1	1	3	1	4	2093	82	41	54	63.078884	No.
5	1	1	3	1	5	2143	82	194	54	58.287178	9254
4	1	1	3	2	0	1709	154	269	27	-1	
5	1	1	3	2	1	1709	154	91	27	96.967674	Ranges
5	1	1	3	2	2	1811	154	44	21	96.119568	and
5	1	1	3	2	3	1867	154	76	25	92.811180	Limits,
5	1	1	3	2	4	1955	154	23	22	92.811180	%
4	1	1	3	3	0	314	197	2021	38	-1	
5	1	1	3	3	1	314	198	75	29	92.980270	4.2.1
5	1	1	3	3	2	413	197	218	38	96.313408	Requirements
5	1	1	3	3	3	649	198	47	28	97.002113	for
5	1	1	3	3	4	713	198	212	34	96.503998	certifications,
5	1	1	3	3	5	944	198	67	28	96.882423	heat
5	1	1	3	3	6	1028	198	125	37	96.540062	analysis
5	1	1	3	3	7	1171	206	33	20	96.189636	or
5	1	1	3	3	8	1220	201	55	25	92.768997	test
5	1	1	3	3	9	1306	193	20	46	35.210350	|
5	1	1	3	3	10	1341	193	162	46	31.513046	“Carbon.
5	1	1	3	3	11	1536	193	101	46	43.272495	Manga-
5	1	1	3	3	12	1655	193	177	46	87.173798	Phosphorus,
5	1	1	3	3	13	1862	193	120	46	41.096764	‘Sulfur,
5	1	1	3	3	14	2012	197	299	35	0.000000	—<Silicon.~—~—~—<Chro-
4	1	1	3	4	0	276	239	2060	42	-1	
5	1	1	3	4	1	276	248	109	33	96.585922	reports
5	1	1	3	4	2	401	243	61	36	96.826019	(6.2
5	1	1	3	4	3	477	244	56	28	96.854607	and
5	1	1	3	4	4	547	243	117	29	96.182571	Section
5	1	1	3	4	5	681	243	58	35	96.971695	14),
5	1	1	3	4	6	1346	239	990	31	23.552963	ese
5	1	1	3	4	7	1682	235	108	43	28.757713	max
5	1	1	3	4	8	1858	239	445	31	48.221062	maxim
4	1	1	3	5	0	314	289	2019	41	-1	
5	1	1	3	5	1	314	290	79	28	91.899475	4.2.2
5	1	1	3	5	2	415	289	115	37	94.107666	Special
5	1	1	3	5	3	546	289	134	37	96.527596	packing,
5	1	1	3	5	4	699	290	141	36	96.936134	marking,
5	1	1	3	5	5	860	289	56	29	96.703621	and
5	1	1	3	5	6	933	289	118	37	96.845581	loading
5	1	1	3	5	7	1069	289	205	37	75.890427	requirements
5	1	1	3	5	8	1349	307	122	21	75.890427	951-959
5	1	1	3	5	9	1523	307	121	22	59.886581	0,60-0.80
5	1	1	3	5	10	1723	308	67	21	31.258621	_—0.035
5	1	1	3	5	11	1895	308	68	21	28.206482	0.040
5	1	1	3	5	12	2044	308	119	21	0.000000	 -1.20-1.60
5	1	1	3	5	13	2215	308	118	22	2.483383	—_0.60-0.80
4	1	1	3	6	0	91	335	2245	45	-1	
5	1	1	3	6	1	73	334	70	46	13.421753	Mo
5	1	1	3	6	2	278	335	130	35	96.416122	(Section
5	1	1	3	6	3	426	335	57	35	96.673126	15),
5	1	1	3	6	4	499	335	56	28	96.715630	and
5	1	1	3	6	5	1346	339	990	6	0.216438	Renee
4	1	1	3	7	0	1284	506	59	27	-1	
5	1	1	3	7	1	1284	506	59	27	96.941948	669
