,CHEMICAL  REQUIREMENTS
,Composition,  %
Element,Classes  60  and  70
Carbon,  max.,0.35
Manganese,  max.,l.lOA
Phosphorus,  max.,0.05
Silicon,0.10-0.35
Sulfur,  max.,0.05
