level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2565	828	-1	
2	1	1	0	0	0	56	0	2481	648	-1	
3	1	1	1	0	0	504	0	1847	16	-1	
4	1	1	1	1	0	504	0	1847	16	-1	
5	1	1	1	1	1	504	0	1	3	89.445847	q
5	1	1	1	1	2	943	0	7	14	34.821136	7
5	1	1	1	1	3	1190	0	7	16	17.617599	ry
5	1	1	1	1	4	1374	0	247	12	3.798050	a,
3	1	1	2	0	0	341	0	2018	117	-1	
4	1	1	2	1	0	746	0	1613	59	-1	
5	1	1	2	1	1	746	0	7	59	90.629890	|
5	1	1	2	1	2	1372	20	188	37	90.906021	close-fitting
5	1	1	2	1	3	1577	20	82	29	96.902390	holes
5	1	1	2	1	4	1678	21	30	28	96.336014	in
5	1	1	2	1	5	1727	29	17	20	91.629036	a
5	1	1	2	1	6	1761	20	148	29	91.411530	tubesheet
5	1	1	2	1	7	1927	20	57	29	96.781395	and
5	1	1	2	1	8	2002	20	148	37	96.781395	expanded
5	1	1	2	1	9	2168	20	54	29	96.345764	and
5	1	1	2	1	10	2239	29	66	27	96.705673	may
5	1	1	2	1	11	2322	20	37	29	96.039665	be
4	1	1	2	2	0	341	51	2018	66	-1	
5	1	1	2	2	1	341	64	158	45	88.297234	DEFFERENCE
5	1	1	2	2	2	552	51	5	66	92.617729	|
5	1	1	2	2	3	943	91	7	14	53.241684	i
5	1	1	2	2	4	1190	98	5	15	27.076584	|
5	1	1	2	2	5	1371	66	115	29	96.294235	welded
5	1	1	2	2	6	1497	66	116	29	96.770554	therein.
5	1	1	2	2	7	1626	66	61	29	96.599495	The
5	1	1	2	2	8	1698	66	82	29	96.554581	tubes
5	1	1	2	2	9	1793	66	72	29	96.321404	shall
5	1	1	2	2	10	1876	66	37	28	96.782936	be
5	1	1	2	2	11	1925	66	65	28	96.999191	able
5	1	1	2	2	12	2001	70	30	24	96.995796	to
5	1	1	2	2	13	2044	66	81	28	96.809708	stand
5	1	1	2	2	14	2135	65	54	29	96.795227	roll
5	1	1	2	2	15	2199	66	160	37	96.623528	expanding
3	1	1	3	0	0	306	83	2231	209	-1	
4	1	1	3	1	0	553	83	1984	68	-1	
5	1	1	3	1	1	553	122	4	16	72.317444	i
5	1	1	3	1	2	746	83	7	68	87.855812	|
5	1	1	3	1	3	1373	112	68	35	96.559860	(See
5	1	1	3	1	4	1456	112	76	28	95.909500	Note
5	1	1	3	1	5	1551	112	27	35	95.909500	1)
5	1	1	3	1	6	1595	111	55	29	96.459381	and
5	1	1	3	1	7	1664	112	127	36	96.890259	bending
5	1	1	3	1	8	1806	111	120	29	96.708069	without
5	1	1	3	1	9	1941	111	132	37	96.148483	showing
5	1	1	3	1	10	2088	111	96	29	96.877129	cracks
5	1	1	3	1	11	2200	111	55	29	96.394646	and
5	1	1	3	1	12	2269	111	89	34	96.394646	flaws,
4	1	1	3	2	0	302	152	2058	144	-1	
5	1	1	3	2	1	302	152	180	144	28.352013	re
5	1	1	3	2	2	1373	158	56	28	96.736252	and
5	1	1	3	2	3	1446	157	73	29	96.789169	shall
5	1	1	3	2	4	1534	158	37	28	96.999611	be
5	1	1	3	2	5	1587	157	124	29	96.935417	finished
5	1	1	3	2	6	1727	157	169	37	96.388535	reasonably
5	1	1	3	2	7	1914	157	118	37	96.393875	straight
5	1	1	3	2	8	2048	157	56	28	96.986084	and
5	1	1	3	2	9	2119	157	118	29	96.868431	suitable
5	1	1	3	2	10	2252	157	46	29	96.863426	for
5	1	1	3	2	11	2313	157	47	28	96.864662	the
3	1	1	4	0	0	407	181	2130	110	-1	
4	1	1	4	1	0	407	181	2130	110	-1	
5	1	1	4	1	1	407	201	42	25	57.229912	"
5	1	1	4	1	2	992	181	6	110	89.401611	|
5	1	1	4	1	3	2535	199	2	20	87.254204	i
3	1	1	5	0	0	391	180	2146	112	-1	
4	1	1	5	1	0	391	180	2146	112	-1	
5	1	1	5	1	1	391	235	71	39	87.888268	WALL
5	1	1	5	1	2	1144	182	40	109	31.016426	L
5	1	1	5	1	3	1204	180	36	112	43.932907	i
3	1	1	6	0	0	395	257	2142	61	-1	
4	1	1	6	1	0	395	257	2142	61	-1	
5	1	1	6	1	1	395	257	58	43	89.167587	THK
5	1	1	6	1	2	680	263	90	25	0.000000	2°R"
5	1	1	6	1	3	754	257	17	39	82.210693	+
5	1	1	6	1	4	779	263	43	24	29.758446	"D"
5	1	1	6	1	5	1137	261	115	57	0.000000	Gorae
5	1	1	6	1	6	1593	258	102	24	94.921463	TABLE
5	1	1	6	1	7	1706	259	17	23	94.921463	5
5	1	1	6	1	8	1734	258	73	24	96.396942	Tube
5	1	1	6	1	9	1819	258	53	30	96.927330	Leg
5	1	1	6	1	10	1886	257	102	31	96.507027	Length
5	1	1	6	1	11	2000	257	145	25	96.419228	Tolerance
5	1	1	6	1	12	2536	289	1	12	2.231812	.
3	1	1	7	0	0	1421	309	1116	33	-1	
4	1	1	7	1	0	1421	309	1116	33	-1	
5	1	1	7	1	1	1421	313	43	29	96.845749	Leg
5	1	1	7	1	2	1476	312	89	30	95.835518	Length,
5	1	1	7	1	3	1576	312	15	22	78.317352	ft
5	1	1	7	1	4	1609	318	21	16	76.196350	[m
5	1	1	7	1	5	2021	312	51	23	96.535736	Plus
5	1	1	7	1	6	2082	312	122	25	96.500351	Tolerance,
5	1	1	7	1	7	2216	312	25	22	95.948593	in.
5	1	1	7	1	8	2261	317	43	16	95.285362	[mm
5	1	1	7	1	9	2536	309	1	3	31.981804	'
3	1	1	8	0	0	1130	323	1407	58	-1	
4	1	1	8	1	0	1130	323	1407	58	-1	
5	1	1	8	1	1	1130	323	131	58	96.719528	DIAMETER
5	1	1	8	1	2	1421	347	33	27	96.982986	Up
5	1	1	8	1	3	1463	348	23	20	95.857590	to
5	1	1	8	1	4	1496	347	30	21	95.857590	20
5	1	1	8	1	5	1537	347	35	26	26.798996	[6],
5	1	1	8	1	6	1585	346	38	22	84.775818	inci
5	1	1	8	1	7	2124	346	84	27	20.106506	[3.2]
3	1	1	9	0	0	680	380	1857	39	-1	
4	1	1	9	1	0	680	380	1857	39	-1	
5	1	1	9	1	1	680	395	22	24	96.078178	PLAN
5	1	1	9	1	2	712	395	109	24	96.631477	VIEW
5	1	1	9	1	3	1420	380	60	22	96.825371	Over
5	1	1	9	1	4	1489	381	30	21	96.519646	20
5	1	1	9	1	5	1528	382	23	20	96.950493	to
5	1	1	9	1	6	1561	381	30	21	90.486221	30
5	1	1	9	1	7	1602	380	21	27	87.004608	[6
5	1	1	9	1	8	1632	382	23	20	96.106339	to
5	1	1	9	1	9	1666	381	28	26	57.156555	9],
5	1	1	9	1	10	1706	380	39	22	96.575951	incl
5	1	1	9	1	11	2119	380	36	22	49.943230	5/2
5	1	1	9	1	12	2163	380	50	27	92.279305	[4.0]
5	1	1	9	1	13	2536	389	1	12	15.626152	;
3	1	1	10	0	0	56	394	2481	81	-1	
4	1	1	10	1	0	56	394	2481	52	-1	
5	1	1	10	1	1	56	411	9	32	59.373352	{
5	1	1	10	1	2	674	411	152	35	0.000000	Seeeetaweniuernny
5	1	1	10	1	3	1126	394	45	24	57.722054	SIDE
5	1	1	10	1	4	1195	394	71	27	88.881020	VIEW
5	1	1	10	1	5	1420	415	60	21	96.517082	Over
5	1	1	10	1	6	1490	415	29	21	95.147072	30
5	1	1	10	1	7	1528	416	23	20	95.926208	to
5	1	1	10	1	8	1561	415	30	21	96.947281	40
5	1	1	10	1	9	1602	414	21	27	96.462494	[9
5	1	1	10	1	10	1633	416	22	20	96.462494	to
