Over 20 to 40, incl 0.008,0.008,0.009,,0.01,0.01,0.012
Over 40 to 48, incl 0.008,0.009,0.009,,0.01,0.012,0.014
C Over 48 to 60, incl,0.009,0.01,,0.01,0.012,0.015
C Over 60 to 72, incl,0.010,0.01,,0.012,0.012,0.016
C Over72 C,C,,,0.012,0.012,O.D18

Over 15 to 20, incl 0.008,0.009,0.01,,0.01,0.01,0.012,0.012
Over 20 to 32, incl 0.009,0.009,0.01,,0.01,0.01,0.012,0.014
Over 32 to 40, incl 0.009,0.009,0.01,,0.01,0.012,0.012,0.014
Over 40 to 48, incl 0.009,0.010,0.01,,0.01,0.012,0.015,O.D15
C Over 48 to 60, incl,0.010,0.01,,0.01,0.012,O.D15,O.D15
Over 60 to 72, incl C,C,0.012,,0.012,0.014,0.016,0.016
C Over 72 to 80, incl C,C,,,0.012,0.014,0.018,0.018

applications, is not subject to limitations on degree and,,with a matte finish, unless otherwise specified.,,,,,
frequency of surface imperfections, and restrictions on texture,,,,,,,
and mechanical properties are not applicable. When ordered as,,9.5 The cold-rolled products covered by this specification,,,,,
"annealed last," the product will have coil breaks and a,,are furnished with,cut edges and,square,cut ends,,,unless
