both, °F(°C),ksi,MPa,ksi,MPa,mini,o;.A,min/,min/,ft-lbf,J

,,15.88),,,,,,,,
,Cold rolled at mill,0.0015 to 0.050 (0.038 to,200.0,1380.0,175.0,1205.0,,,C41,
,,1.27),,,,,,,,
,Cold rolled at mill,0.0015 to 0.050 (0.038 to,240.0,1655.0,230.0,1580.0,,,C46,
,+ 900 (482),1.27),,,,,,,,
632.0,1400 (760) +,0.0015 to 0.0049 (0.038 to,190.0,1310.0,170.0,1170.0,2.0,,C40,
,,0.124),,,,,,,,
,plus 55 (15) +,0.0050 to 0.0099 (0.127 to,190.0,1310.0,170.0,1170.0,3.0,,C40,
,,0.251),,,,,,,,
,1050 (566),0.01 O to 0.0199 (0.25 to,190.0,1310.0,170.0,1170.0,4.0,,C40,
,,0.505),,,,,,,,
,,0.020 to 0.1874 (0.51 to,190.0,1310.0,170.0,1170.0,5.0,,C40,
,,4.760),,,,,,,,
,,0.1875 to 0.625 (4.762 to,190.0,1310.0,170.0,1170.0,4.0,20.0,C40,375.0
,,15.88),,,,,,,,
,1750 (954) +,0.0015 to 0.0049 (0.038 to,225.0,1550.0,200.0,1380.0,,,C46,
,,0.124),,,,,,,,
,minus 1o o (73),0.0050 to 0.0099 (0.127 to,225.0,1550.0,200.0,1380.0,2.0,,C46,
,,0.251),,,,,,,,
,+ 950 (510),0.010 to 0.0199 (0.25 to,225.0,1550.0,200.0,1380.0,3.0,,C46,
,,0.505),,,,,,,,
,,0.020 to 0.1874 (0.51 to,225.0,1550.0,200.0,1380.0,4.0,,C46,
,,4.760),,,,,,,,
,,0.1875 to 0.625 (4.762 to,225.0,1550.0,200.0,1380.0,4.0,20.0,C45,429.0
,,15.88),,,,,,,,
,Cold rolled at mill,0.0015 to 0.050 (0.038 to,200.0,1380.0,175.0,1205.0,,,C41,
,,0.13),,,,,,,,
,Cold rolled at mill,0.0015 to 0.050 (0.038 to,240.0,1655.0,230.0,1585.0,,,C46,
,+ 900 (482),0.13),,,,,,,,
633.0,850 (455),0.0005 to 0.0015 (0.022 to,185.0,1275.0,150.0,1035.0,2.0,,C42,
,,0.038),,,,,,,,
,,0.0015 to 0.0020 (0.038 to,185.0,1275.0,150.0,1035.0,4.0,,C42,
,,0.041),,,,,,,,
,,0.0020 to 0.0100 (0.041 to,185.0,1275.0,150.0,1035.0,6.0,,C42,
,,0.254),,,,,,,,
,,0.0100 to 0.1875 (0.254 to,185.0,1275.0,150.0,1035.0,8.0,,C42,
,,4.762),,,,,,,,
,1000 (540),0.0005 to 0.0015 (0.022 to,165.0,1140.0,145.0,1000.0,2.0,,C36,
,,0.038),,,,,,,,
,,0.0015 to 0.0020 (0.038 to,165.0,1140.0,145.0,1000.0,4.0,,C36,
,,0.041),,,,,,,,
,,0.0020 to 0.0100 (0.041 to,165.0,1140.0,145.0,1000.0,6.0,,C36,
,,0.254),,,,,,,,
,,0.0100 to 0.1875 (0.254 to,165.0,1140.0,145.0,1000.0,8.0,,C36,
,,4.762),,,,,,,,
634.0,850 (455),,190.0,1310.0,165.0,1140.0,10.0,,,
,1000 (540),,170.0,1170.0,150.0,1035.0,12.0,,C37,
635.0,950 (510),0.030 (0.76) and under,190.0,1310.0,170.0,1170.0,3.0,,C39,
,,0.030 to 0.060 (0.76 to 1.52),190.0,1310.0,170.0,1170.0,4.0,,C39,
,,Over 0.060 (1.52),190.0,1310.0,170.0,1170.0,5.0,,C39,
,,Plate,190.0,1310.0,170.0,1170.0,8.0,25.0,C39,363.0
,1000 (540),0.030 (0.76) and under,180.0,1240.0,160.0,1105.0,3.0,,C37,
,,0.030 to 0.060 (0.76 to 1.52),180.0,1240.0,160.0,1105.0,4.0,,C37,
,,Over 0.060 (1.52),180.0,1240.0,160.0,1105.0,5.0,,C37,
,,Plate,180.0,1240.0,160.0,1105.0,8.0,30.0,C38,352.0
