,,Wall Thickness,to 0.010 in.,,,
,,,TubingA.B,,[0.13 mm]. max,
,,,[0.26 mm] max,,,
Outside Diameter,,,,,Tubing0 •0,
,,,Tubing8 •0,,,
Range,,,,,,
in. [mm],,,Outside Outside,,Outside,Inside
,,,Diameter,± Diameter,±,,Diameter,±,Diameter,±
Bwg8,,in. [mm],,,,
,,,TolerancesF,,,
,,,in. [mm] in. [mm],,in. [mm],in. [mm]
Over 8 to 1O , incl [200 to 250) 11 to 10,,0.120 to 0.134 [3.0 to 3.4],0.030 [0.76] 0.030 [0.76],,0.030 [0.76],0.043 [1.09]
over 87rr7a;---incl (200 to 2so:i-------9 to 5 ---,,0.148toU.22lr[3.8 to 5.6)--------U.030 [0.7~01J30 [0.761,,,0.030 [0.76],0.045 [1.14]
Over 8 to 10, incl [200 to 250] 4 to 3,,0.238 to 0.259 (6.0 to 6.6],0.030 [O. 76] 0.030 [0.76],,0.030 [0.76],0.059 [1.50]
Over 8 to 10, incl [200 to 250) 2 to 0.500 [12. 7],,0.248 to 0.500 [7.2 to 12.7],0.030 [0.76] 0.030 [0.76],,0.030 (0.76],0.063 [1.60]
Over 1O  to 12, incl [250 to 300] 14 to 12,,0.083 to 0.109 [2.1 to 2.8],0.035 (0.89) 0.035 (0.89],,0.035 [0.89],0.041 [1.04]
Over 1O  to 12, incl [250 to 300] 11 to 10,,0.120 to 0.134 [3.0 to 3.4],0.035 [0.89] 0.035 (0.89],,0.035 [0.89],0.043 [1.09]
Over 1O  to 12, incl (250 to 300] 9 to 5,,0.148 to 0.220 [3.8 to 5.6),0.035 [0.89] 0.035 (0.89],,0.035 (0.89],0.045 [1.14]
Over 10 to 12, incl (250 to 300] 4 to 3,,0.238 to 0.259 (6.0 to 6.6],0.035 (0.89] 0.035 [0.89],,0.035 [0.89],0.059 (1.50]
Over 10 to 12, incl (250 to 300] 2 to 0.500 (12.7],,0.284 to 0.500 [7.2 to 12.7],0.035 [0.89] 0.035 [0.89],,0.035 [0.89],0.063 [1.60]
Over 12 to 15, incl (300 to 380] 14 to 12,,0.083 to 0.109 (2.1 to 2.8],0.040 [1.02] 0.040 [1.02],,0.040 [1.02],0.058 [1.47]
Over 12 to 15, incl [300 to 380] 11 to 10,,0.120 to 0.134 [3.0 to 3.4],0.040 [1.02] 0.040 [1.02],,0.040 [1.02],0.058 [1.47]
Over 12 to 15, incl (300 to 380] 9 to 5,,0.148 to 0.220 [3.8 to 5.6],0.040 [1.02] 0.040 [1.02],,0.040 (1.02),0.060 [1.52]
Over 12 to 15, incl (300 to 380] 4 to 3,,0.238 to 0.259 [6.0 to 6.6),0.040 [1.02] 0.040 [1.02],,0.040 [1.02),0.07 4 (1.88]
Over 12 to 15, incl [300 to 380] 2 to 0.500 (12.7],,0.284 to 0.500 [7.2 to 12.7],0.040 [1.02] 0.040 (1.02],,0.040 [1.02],0.086 [2.18]
