thickness.,TP201,S20100,75 [515],38 [260]
4.1.4 The pipe shall be pickled free of scale. When bright,TP201LN,S20153,95 [665],45 [310]
,TP304L,S30403,70 (485],25 (170]
annealing is used, pickling is not necessary.,TP316L,S31603,70 [485],25 [170]
,TP304,S30400,75 (515],30 [205]
4.2 Heat Treatment:,,,,
,TP304H,S30409,75 [515],30 (205]
4.2.1 All pipe shall be furnished in the heat-treated condi­,TP309CB,S30940,75 [515],30 (205]
tion. The heat-treatment procedure, except for H grades,,TP309S,S30908,75 [515],30 [205]
,TP310Cb,S31040,75 [515],30 [205]
S30815, N08367 and S31254, shall consist of heating the pipe,,,,
,TP310S,S31008,75 [515],30 [205]
to a minimum temperature of 1900 °P [1040 °C] and quench­,TP316,S31600,75 [515],30 [205]
ing in water or rapidly cooling by other means.,TP316H,S31609,75 [515],30 [205]
,TP317,S31700,75 [515],30 [205]
4.2.2 All H grades and S30815 shall be furnished in the,TP317L,S31703,75 [515],30 [205]
solution-treated condition. The minimum solution treating,TP321,S32100,75 [515],30 (205]
temperature for Grades TP321H, TP347H, and TP348H shall,TP321H,S32109,75 [515],30 (205]
,TP347,S34700,75 [515],30 [205]
be 2000 °P [1100 °C] and for Grades TP304H and TP316H,,TP347H,S34709,75 [515],30 [205]
1900 °P [1040 °C]. The minimum temperature for S30815,TP348,S34800,75 [515],30 [205]
shall be 1920 °P [1050 °C].,TP348H,S34809,75 [515],30 [205]
,TPXM-10,S21900,90 [620],50 [345]
4.2.3 The heat-treatment procedure for S31254 shall consist,TPXM-11,S21903,90 [620],50 [345]
of heating the pipe to a minimum temperature of 2100 °P [1150,TPXM-15,S38100,75 [515],30 [205]
0 C] and quenching in water or rapidly cooling by other means.,TPXM-29,S24000,100 (690],55 [380]
,TPXM-19,S20910,100 (690],55 [380]
4.2.4 The heat-treatment procedure for S31727 and S32053,TP304N,S30451,80 (550],35 [240]
shall consist of heating the pipe to a minimum temperature of,TP316N,S31651,80 [550],35 [240]
1975 to 2155 °P [1080 to 1180 °C] and quenching in water or,TP304LN,S30453,75 [515],30 [205]
,TP316LN,S31653,75 [515],30 [205]
rapidly cooling by other means.,,S31254,94 [650],44 [300]
4.2.5 UNS N08367 shall be solution annealed from 2025 °P,,S31727,80 [550],36 [245]
[1110 °C] minimum followed by rapid quenching.,,S32053,93 [640],43 [295]
,,S30815,87 [600],45 [310]
4.3 H grades and S30815 shall have a minimum grain size,,N08367,,
,,ts0.187,100 [690],45 [310]
of 7 or coarser when measured in accordance with Test,,,,
,,1>0.187,95 [655],45 [310]
