,40 [275],,21,
,45 [310] Type 1,,21,
,45 [310] Type 2,,21,
,50 [340],,21,
,55 [380],,21⁄21,
,60 [410],,31,
,70 [480],,31⁄2 t,
High-Strength Low-Alloy,,Class 1,,Class 2
Steel,,,,
,45 [310],11⁄21,,11⁄21
,50 [340],21,,11⁄21
,55 [380],21,,21
,60 [410],21⁄21,,21
,65 [450],31,,21⁄21
,70 [480],31⁄21,,31

comparison with this ASTM,,,standard.,The relationship,,,be­,,Structural Quality,,,,,
tween the standards may only be approximate; therefore, the,,,,,,,,,ISO 5951,Hot-rolled Steel Sheet of Higher Yield Strength,,,,

33 [230],1 t
36 [250] Type 1,1 t
