S32808,...,annealed 101 [700],,72 [500],15,. ..,310
S32906,...,annealed 109 [750],,80 [550],25,. ..,310
S32950,...,annealed 100 [690],,70 [485],15,. ..,297
S39277,...,annealed 118 [820],,85 [585],25,50,293
S82441,Under 7/10 in. [11 mm],annealed 107 [740],,78 [540],25,...,290
S82441,7/,s in. and over [11 mm],annealed 99 [680],,70 [4801,25,...,290
,,Ferrlt1c Grades,,,,,
S40500,405,annealed 60 [415],,25[170],20,45,207
S43000,S43035,430,439,annealed 70 [485],,40 [275],20H,45H,192
S44627,XM-27,annealed 65 [450],,40 [275],,45H,217
S44401,...,annealed 60 [415],,45 [310],201,451,217
S44700,...,annealed 70 [485],,55 [380],20,40,. ..
S44800,...,annealed .. 70 [4851,,55 [380],20,40,. ..
,,Martens1t1c Grades,,,,,
S40300, S41000,403,410,annealed 70 [485],,40 [275],201,45,223
,,1 70 [485],,40 [275],201,451,223
,,2 110 [760],,85 [585],15,45,269
,,3 130 [895],,100 [690],12,35,331
S41400,414,tempered 115 [795],,90 [620],15,45,321
S41425,...,tempered 120 [825],,95 [655],15,45,321
S41500,...,normalized 115 [795],,90 [620],15,45,293
,,and tempered,,,,,
S43100,431J,annealed ...,,...,...,. ..,277
,,tempered 115 [795],,90 [620],15,45,321
S41040,XM-30,annealed 70 [485],,40 [275],13H,45H,235
,,quenched 125 [860],,100 [690],13,45,302
