Mid-length
Gage Dia 0 Gage Shoulder
Specimen and Notch-Root Length, Diameter, Notch-Root
Type Dia F G H Radius
Inches
0.125 0.5 0.177 0.005
2 0.160 0.65 0.226 0.005
3 0.178 0.75 0.250 0.005
4 0.252 1.0 0.375 0.007
5 0.357 1.5 0.500 0.010
6 0.505 2.0 0.750 0.015
Tolerance ±0.001 ±0.05 ±0.003 ±0.0005
Millimetres
7 3.17 12.0 4.5 0.13
8 4.06 17.0 5.5 0.13
9 4.52 20.0 6.5 0.13
10 6.40 25.0 9.5 0.18
11 9.07 40.0 12.0 0.25
12 12.8 50.0 19.0 0.38
Tolerance ±0.025 ±1.3 ±0.1 ±0.01
