Type l,zinc-coated,1⁄2 to 11⁄2,,DH,,,
A 325 Type 3,non-zinc-coated,1⁄2 to 11⁄2,,C3,,DH3,
,,1⁄4 to 11⁄2,,C,D,DH,C3,D,DH,DH3,D,DH
A 354,non-zinc-coated,,,,,,
,,>l 1⁄2 to 4,,C,,C3,D,DH,DH3,
,,1⁄4 to 11⁄2,,DH,,,DH
Grade BC,zinc-coated,,,,,,
,,>11/2t04,,DH,,,
A 354,,1⁄4 to 11⁄2,,DH,DH,D,DH,DH3,D,DH
,non-zinc-coated,,,,,,
Grade BD,,>l1⁄2 to 4,,DH,,DH3,
A 394,,,,,,,
,zinc-coated,1⁄2 to 1,A,,B,D,,
Type 0,,,,,,,
A 394,,,,,,,
,zinc-coated,1⁄2 to 1,DH,,D,,
Types 1 and 2,,,,,,,
A 394,,,,,,,
,non-zinc-coated,1⁄2 to l,DH3,,,C3,
Type 3,,,,,,,
,,1⁄4 to 11⁄2,B,,D,DH,B,C,C3,D,DH,DH3,B,D,DH
,non-zinc-coated,,,,,,
A 449,,>l %t o 3,,A,,C,C3,D,DH,DH3,
Types l and 2,,1⁄4 to 11⁄2,,DH,D,DH,D,D,DH
,zinc-coated,,,,,,
,,>l1⁄2 to 3,,DH,,D,

,and zinc-,>l1⁄2 to 2,A,,A (Fl,C,D,DH,DH3,
Grade B,coated,>2 to 4,A,,,C,D,DH,DH3,
