Squares, Hexagons and,,,to,to,to,to,to
Octagons, mm,,,3000,,6000,,9000,,12 000,,18 000,
,,,excl,excl,excl,excl,excl
,,Hot Shearin,,,,,
To 25, incl,to 25, incl,to 75, incl,15,20,35,45,60
Over 25 to 50, incl,over 25,to 75, incl,15,25,40,50,65
,to 25, incl,over 75 to 150, incl,15,25,40,50,65
Over 50 to 125, incl,over 25,over 75 to 150, incl,25,40,45,60,70
Over 125 to 250, incl,,,50,65,70,75,85
Bar Size Sections,over 6 to 25, incl,over 150 to 200, incl,20,30,45,90,100
,over 25 to 75, incl,over 150 to 200, incl,30,45,50,90,100
,,,15,25,40,50,65
,,Hot Sawin,,,,,
,,,B,,,,
To 90, incl,25 and over,75 and over,,40,45,60,70
Over 90 to 125, incl,,,,50,60,65,75
,,,B,,,,
Over 125 to 250, incl,,,,65,70,75,85
