,,UNS,Strength,,Strength,,in 2 in. or,,
,Grade,,,,,BrinellNickers,Rockwell
,,Designation,min, ksi,min, ksi,50mm,,,
,,,[MPa],[MPa],min, %8 ·c,,
,,834752,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP348,,834800,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
TP348H,,834809,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
,,835045,70 [485],25[170],35,192 HBW/,90 HRB
,,,,,,200 HV,
XM-15,,838100,75 [515],30 [205],35,192 HBW/,90 HRB
,,,,,,200 HV,
,,838815,78 [540],37 [255],30,256 HBW,100 HRB

,N08028,73 [500],31 [214],40.0,,
,N08029,73 [500],31 [214],40.0,,
,N08367,,,,,
,:s:;3/16 in. wall,100 [690],45 [310],30.0,,100 HRB
,>3/16 in. wall,95 [655],45 [310],30.0,241 HBW,
800,N08800,,,,,
,cold-worked,75 [515],30 [205],30.0,192 HBW/,90 HRB
,annealed,,,,200 HV,
,hot-finished,65 [450],25 [170],30.0,192 HBW/,90 HRB
,annealed,,,,200 HV,
800H,N08810,65 [450],25 [170],30.0,192 HBW/,90 HRB
,,,,,200 HV,
,N08811,65 [450],25 [170],30.0,192 HBW/,90 HRB
,,,,,200 HV,
,N08904,71 [490],31 [215],35.0,192 HBW/,90 HRB
,,,,,200 HV,
,N08925,87 [600],43 [295],40.0,217 HBW,95 HRB
,N08926,94 [650],43 [295],35.0,256 HBW,100 HRB
,835030,80 [550],34 [235],30.0,192HBW/,90 HRB
,,,,,200HV,
Ferritic Stainless Steels:,,,,,,
TP444,844400,60[415],40[275],20.0,217 HBW/ 230 HV,96 HRB

,,,T23, T24, T91,,,
,,,Types 1 and 2,,,,All Other
in.,,mm,,T93,T36,
,,,T92, T921,,,,Ferritic Grades
,,,T115, T122,,,,
,,,T128, and T911,,,
5/16 [0.312],8,,20,19,15,30
%2[0.281],7.2,,19,18,14,29
1⁄4[0.250],6.4,,18,17,13,27
7/32 [0.219],5.6,,17,16,12,26
3/16 [0.188],4.8,,16,15,11,24
%2[0.156],4,,15,14,10,23
1/a [0.125],3.2,,14,13,9,21
%2 [0.094],2.4,,13,12,8,20
1/16 [0.062],1.6,,12,11,7,18
0.062 to 0.035, excl,1.6 to 0.9,,12,11,7,17
0.035 to 0.022, excl,0.9 to 0.6,,11,10,6,17
0.022 to 0.015 incl,0.6 to 0.4,,11,10,6,16
