,,Material,,,,,,,,,
Grade,Desig-,,Specification No.,A5.4/A5.4M,A5.9/A5.9M,,A5.11/A5.11M,A5.14/A5.14M,A5.22/A5.22M,A5.30/A5.30M
,,Type,,,,,,,,
,nation,,and Grade,Class. UNS,Class.,UNS,Class. UNS,Class. UNS,Class. UNS,Class. UNS

...,N08020,...,. ..,. ..,...,...,...,...,...,...,. ..,...,. ..,,
,,,N08020,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,...,
...,N08367,...,...,. ..,...,. ..,ENiCrMo-3,W86112,ERNiCrMo-3,N06625,...,. ..,. ..,,
,,,N08367,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,...,
...,NOB?OO,...,...,...,...,. ..,ENiCrMo-3,W86112,ERNiCrMo-3,N06625,. ..,. ..,. ..,,
,,,N08700,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,...,
BOOE,N08800,...,...,. ..,...,...,ENiCrFe-3,W86182,ERNiCr-3,N06082,. ..,. ..,. ..,,
,,,N08800,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,...,
SOOHE,N08810,...,...,...,...,...,ENiCrFe-3F,W86182F,ERNiCr-3F,N06082F,. ..,. ..,. ..,,
,,,N08810,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,,
...,N08811,...,...,. ..,...,...,ENiCrFe-3F,W86182F,ERNiCr-3F,N06082F,,,,,
,,,N08811,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,...,
...,N08904,...,...,...,...,...,...,. ..,...,...,. ..,. ..,...,,
,,,N08904,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,...,
...,N08926,...,...,...,...,...,ENiCrMo-3,W86112,ERNiCrMo-3,N06625,...,. ..,. ..,,
,,,N08926,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,,
201,S20100,201,...,...,...,...,. ..,...,...,...,. ..,...,...,. ..,
,,,Type 201,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,,
201LN,S20153,201LN,...,...,...,...,...,...,...,...,...,...,. ..,. ..,
,,,Type 201LN,,,,,,,,,,,,
,,,,,,,,,,,,,,,:i,.
,,,A240/A240M,,,,,,,,,,,,
. . .,S20400,...,:"'S20400 E 209,W32210,ER209,S20980,. . .,. . .,...,. . .,. ..,. . .,. . .,. ..,::

,XM-19,S20910,XM-19,= Type XM-19 E209,W32210,ER209,S20980,...,...,...,...,. ..,...,...,. ..,
en,,,,,,,,,,,,,,,,
° '1',XM-29,S24000,XM-29,A240/A240M Type XM-29 E240,W32410,ER240,S24080,...,...,...,...,. ..,...,. ..,. ..,~

304,S30400,304,,E308,W30810,ER308,S30880,...,...,...,. ..,E308T,W30831,IN308,S30880,
,,,Type 304,,,,,,,,,,,,,N
,,,,,,,,,,,,,,,,0
,,,A240/A240M,,,,,,,,,,,,,N
304L,S30403,304L,,E308L,W30813,ER308L,S30883,...,...,. ..,...,E308LT,W30835,IN308L,S30883,<:11
,,,Type 304,,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,,,
304H,S30409,304H,,E308H,W30810,ER308,S30880,...,...,...,...,E308T,W30831,IN308,S30880,
,,,Type 304H,,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,,,
...,S30415,. ..,,...,...,...,...,...,...,...,...,...,...,. ..,. ..,

,,,Type 304N,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,,
304LN,S30453,304LN,,E308L,W30813,ER308L,S30883,...,...,...,. ..,E308LTT,W30835,IN308L,S30883

.. .,S30600°,...,,...,...,...,...,...,...,...,...,...,...,. ..,. ..
,,,S30600°,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,,
,S30815,...,,...,.. .,...,...,...,...,...,...,...,...,. ..,. ..

309S,S30908,309S,,...,...,...,...,...,...,...,...,. ..,...,...,. ..
,,,Type 309S,,,,,,,,,,,,
,,,A240/A240M,,,,,,,,,,,,
309Cb,S30940,309Nb,,E309Cb,W30917,...,...,...,...,...,...,...,. ..,. ..,. ..

310S,S31008,310S,,...,...,...,...,. ..,...,...,...,. ..,...,...,. ..,
,,,Type 310S,,,,,,,,,,,,,~
,,,A240/A240M,,,,,,,,,,,,,
310Cb,S31040,310Cb,,E310NB,W31017,...,...,...,...,...,...,. ...,...,. ..,. ..,<:11
