T9 K90941,full or isothermal,,,,
,anneal; or,,,,
,normalize and,,,,1250 [675]
,temper,,,,
T11 K11597,full or isothermal,,,,
,anneal; or,,,,
,normalize and,,,,1200 [650]
,temper,,,,
T12 K11562,full or isothermal,,,,
,anneal; or,,,,
,normalize and,,,,
,temper; or,,,,
,subcritical anneal,,,,1200 to 1350
,,,,,[650 to 730]
T17 K12047,full or isothermal,,,,
,anneal; or,,,,
,normalize and,,,,1200 [650]
,temper,,,,
T21 K31545,full or isothermal,,,,
,anneal; or,,,,
,normalize and,,,,1250 [675]
,temper,,,,
T22 K21590,full or isothermal,,,,
,anneal; or,,,,
,normalize and,,,,1250 [675]
,temper,,,,
T23 K40712,normalize and,1900-1975,,,1350-1470[730-800]
,temper,[1040-1080],,,
D T24 K30736,normalize and,1800-1870,,,1350-1420 [730-770]
,temper,[980-1020],,,
E T36 K21001,normalize and,1650 [900],,,1100 [595]
,temper,,,,
T91 Types 1 and 2 K90901,normalize and,1900-1975,,,1350-147 0 [730-800]
,temper,[1040-1080],,,
T92 K92460,normalize and,1900-1975,,,1350-1470 [730-800]
,temper,[1040-1080],,,
T93 K91350,normalize and,1960-2140,,,1380-1455 [750-790]
,temper,[1070-1170],,,
T115 K91060,normalize and,1920-2010,,,1380-1455
,temper,[1050-1100],,,[750-790]
T122 K91261,normalize and,1900-1975,,,1350-1470 [730-800]
,temper,[1040-1080],,,
T128 K91421,normalize and,1975-2140,air,,1400-1470
,temper,[1080-1170],,,[760-800]
D T911 K91061,normalize and,1900-1975,,,1365-1435
,temper,[1040-1080],,,[740-780]
T921 K91201,normalize and,1670-1740,air,,1350-1420
,temper,[910-950],,,[730-770]
,,Austenitic Stainless Steels,,,
TP201 S20100,solution treatment,1900 [1040]F,water or other rapid cool,,
TP202 S20200,solution treatment,1900 [1040]F,water or other rapid cool,,
XM-19 S20910,solution treatment,1900 [1040]F,water or other rapid cool,,
S21500,solution treatment,1900 [1040]F,G,water or other rapid cool,,
S25700,solution treatment,1900 [1040]F,water or other rapid cool,,
TP304 S30400,solution treatment,1900 [1040t,water or other rapid cool,,
