5/iB,24,0.058,6 950,4 950,,5 350
%,24,0.0878,10 550,7 450,,8 100
,20,0.1187,14 250,10 100,,10 900
,20,0.1599,19 200,13 600,,14 700
,18,0.203,24 350,17 250,,18 700
3⁄4,18,0.256,30 700,21 750,,23 500
3⁄4,16,0.373,44 750,31 700,,34 300
7/s,14,0.509,61 100,43 250,,46 800
,12,0.663,79 550,56 350,,61 000
11/a,12,0.856,89 900,63 350,,69 350
11⁄4,12,1.073,112 650,79 400,,86 900
1%,12,1.315,138 100,97 300,,106 500
11⁄2,12,1.581,166 000,117 000,,128 000
