,Manganese,0.40-0.90,0.70-1.35,0.50-0.90,1.20+1.50,1.30 max,0.30-0.80,0.30-0.60,0.20-0.40,0.20-0.40,0.30-0.60,0.30-0.60,0.30-0.60,0.30-0.60,
,,,,,I,,,,,,,,,,
,Phosphorus,0.025 max,0.025 max,0.025 max,0.02l5 max,0.025 max,0.025 max,0.025 max,0.025 max,0.025 max,0.020 max,0.015 max,0.015 max,0.020 max,
,,,,,I,,,,,,,,,,>
,,,,,,,,,,,,,,,Cll
,Sulfur,0.025 max,0.025 max,0.025 max,0.026 max,0.025 max,0.025 max,0.025 max,0.025 max,0.025 max,0.020 max,0.015 max,0.010 max,0.010 max,3:
,,,,,I,,,,,,,,,,C!l
,,,,,,,,,,,,,,,t:1:1
,Silicon1,0.35 max,0.40 max,0.35 max,0.35[ max,0.35 max,0.50-1.00,0.50 max,0.30 max,0.30 max,0.10 max,0.50 max,0.10 max,0.10 max,
'N°,,,,,,,,,,,,,,,
w,Nickel,0.40 max,0.40 max,0.50-1.00,0.40~1.00,0.25 max,0.50 max,0.50 max,2.8-3.9,2.8-3.9,,0.25 max,0.25 max,0.25 max,
,Chromium,0.25 max,0.25 max,0.25-0.45,0.25) max,0.15 max,1.00-1.50,2.00-2.50,1.25-2.00,1.25-2.00,2.8-3.3,2.00-2.50,2.00-2.50,2.7-3.3,~
