Ferrltlc/ Austenitlc,S31803,1870-2010 °F,Water quench or,Not required
,,[1020-1100 °C],rapidly cooled by,
,,,other means,
,S32101,1870 °F [1020 °C] min,Water quench or,Not required
,,,rapidly cooled by,
,,,other means,
,S32202,1870-1975 °F,Water quench or,Not required
,,[1020-1080 °C],rapidly cooled by,
,,,other means,
,S32205,1870-2010 °F,Water quench,Not required
,,[1020-1100 °C],,
,S32750,1920-2060 °F,Water quench or,Not required
,,[1025-1125 °C],rapidly cooled by,
,,,other means,
,S32760,2010-2085 °F,Water quench or,Not required
,,[1100-1140 °C],rapidly cooled by,
,,,other means,
,S39274,1920-2060 °F,Water quench or,Not required
,,[1025-1125 °C],rapidly cooled by,
,,,other means,
,S32550,1950-1975 °F,Water quench,Not required
,,[1065-1080 °C],,
,S32950,Not specified,Not specified,Not required
Martensltlc,S41000,2c 1200°F [650°C],Not specified,Not specified
,S41008,>1200°F [650°C],In still air,Not specified
,,,as appropriate,
,,,for grade,
,S41500,;,, 1750 °F [955 °C],Air cool to s; 200 °F,1050-1150 °F
,,,[95 °C] prior to any,[565-620 °C]
