,1002,0.02--0.04,0.35 max,0.03,0.035,1.00 %. When the maximum manganese limit exceeds 1.00 %, add 0.01 to
,1003,0.02-0.06,0.35 max,0.03,0.035,the carbon ranges shown below.
,1004,0.02/0.08,0.35 max,0.03,0.035,
,,,,,,Carbon Steels Only, Cast or Heat Analysis
,1005,0.06 max,0.35 max,0.03,0.035,
,,,,,,Element
,1006,0.08 max,0.45 max,0.03,0.035,Maximum Specified Range Lowest
,1007,0.02/0.10,0.50 max,0.03,0.035,Element,% max
,1008,0.10 max,0.50 max,0.03,0.035,Carbon to 0.15 incl 0.05 0.08
,1009,0.15 max,0.60 max,0.03,0.035,(see Note) over 0.15 to 0.30 incl 0.06
,1010,0.08--0.13,0.30-0.60,0.03,0.035,over 0.30 to 0.40 incl 0.07
,1012,0.10-0.15,0.30-0.60,0.03,0.035,over 0.40 to 0.60 incl 0.08
,1015,0.13--0.18,0.30-0.60,0.03,0.035,over 0.60 to 0.80 incl 0.11
,1016,0.13--0.18,0.60-0.90,0.03,0.035,over 0.80 to 1.35 incl 0.14
,1017,0.15--0.20,0.30-0.60,0.03,0.035,
,1018,0.15-0.20,0.60-0.90,0.03,0.035,Manganese to 0.50 incl 0.20 0.40
,1019,0.15-0.20,0.70-1.00,0.03,0,035,over 0.50 to 1.15 incl 0.30
,1020,0.18-0.23,0.30-0.60,0.03,0.035,over 1.15 to 1.65 incl 0.35
/-------.'...,,,,,,
,1021,0.18-0.23,0.60-0.90,0.03,0.035,
,1022,0.18-0.23,0.70-1.00,0.03,0.035,
,1023,0.20-0.25,0.30-0.60,0.03,0.035,Phosphorus to 0.08 incl 0.03 0.030A
,1025,0.22-0.28,0.30-0.60,0.03,0.035,over 0.08 to O.Q15 incl 0.05
,1026,0.22-0.28,0.60-0.90,0.03,0.035,
,1029,0.25-0.31,0.60-0.90,0.03,0.035,
,1030,0.28-0.34,0.60-0.90,0.03,0.035,
,1033,0.30-0.36,0.70-1.00,0.03,0.035,Sulfur to 0.08 incl 0.03 0.035A
,1035,0.32-0.38,0.60-0.90,0.03,0.035,over 0.08 to 0.15 incl 0.05
,1037,0.32-0.38,0.70-1.00,0.03,0.035,over 0.15 to 0.23 incl 0.070.10
,1038,0.35-0.42,0.60-0.90,0.03,0.035,over 0.23 to 0.33 incl 0.10
,1039,0.37-0.44,0.70-1.00,0.03,0.035,
,1040,0.37-0.44,0.60-0.90,0.03,0.035,
,1042,0.40-0.47,0.60-0.90,0.03,0.035,Silicon to 0.15 incl 0.08 0.10
,1043,0.40-0.47,0.70-1.00,0.03,0.035,over 0.15 to 0.30 incl 0.15
,1045,0.43--0.50,0.60-0.90,0.03,0.035,over 0.30 to 0.60 incl 0.30
,1046,0.43-0.50,0.70-1.00,0.03,0.035,
,1049,0.46--0.53,0.60--0.90,0.03,0.035,
,1050,0.48-0.55,0.60-0.90,0.03,0.035,
,1055,0.50-0.60,0.60-0.90,0.03,0.035,Copper When copper is required
,1060,0.55-0.65,0.60-0.90,0.03,0.035,0.20 min is commonly speci-
,1064A,0.59-0.70,0.50-0.80,0.03,0.035,fied.
,1065,0.60-0.70,0.60-0.90,0.03,0.035,
,,,,,,A Certain individual specifications provide for lower standard limits for phosphorus
,1070,0.65-0.75,0.60-0.90,0.03,0.035,
,,,,,,and sulfur.
,1074,0.70-0.80,0.50-0.80,0.03,0.035,
,1075,0.70-0.80,0.40-0.70,0.03,0.035,
,1078,0.72-0.85,0.30-0.60,0.03,0.035,
,1080,0.75-0.88,0.60-0.90,0.03,0.035,
,1084,0.80-0.93,0.60-0.90,0.03,0.035,
,1085,0.80-0.93,0.70-1.00,0.03,0.035,
,1086,0.80-0.93,0.30-0.50,0.03,0.035,
,1090,0.85-0.98,0.69-0.90,0.03,0.035,
,1095,0.90-1.03,0.30-0.50,0.03,0.035,
,1515,0.13--0.18,1.10-1.40,0.03,0.035,
,1521,0.18-0.23,1.10-1.40,0.03,0.035,
,1522,0.18-0.24,1.10-1.40,0.03,0.035,
,1524,0.19--0.25,1.35-1.65,0.03,0.035,
(,1526,0.22-0.29,1.10-1.40,0.03,0.035,
,1527,0.22-0.29,1.20-1.50,0.03,0.035,
~.·,1536,0.30--0.37,1.20-1.50,0.03,0.035,
,1541,0.36-0.44,1.35-1.65,0.03,0.035,
,1547,0.43--0.51,1.35-1.65,0.03,0.035,
,1548,0.44--0.52,1.10-1.40,0.03,0.035,
,1552,0.47-0.55,1.20-1.50,0.03,0.035,
,1566,0.60-0.71,0.85-1.15,0.03,0.035,
