Over 2 in. to 4 in. [100 mm] incl. in thickness,0.20,0.24,0.20,0.23
Over 4 in. [100 mm] in thickness,0.23,0.25,,
anganese, max:,,,,
Heat analysis:,,,,
2 in. [50 mm] and under,0.70,0.70,0.70,0.70
Over 2 in. [50 mm],0.80,0.80,0.80,0.80
Product analysis:,,,,
2 in. [50 mm] and under,0.78,0.78,0.78,0.78
Over 2 in. [50 mm],0.88,0.88,0.88,0.88
osphorus, maxA,0.025,0.025,0.025,0.025
lfur, maxA,0.025,0,025,0.025,0.025
licon:,,,,
Heat analysis,0.15-0.40,0.15-0.40,0.15-0.40,0.15-0.40
Product analysis,0.13-0.45,0.13-0.45,0.13-0.45,0.13-0.45
ckel:,,,,
Heat analysis,2.10-2.50,2.10-2.50,3.25-3.75,3.25-3.75
Product analysis,2.03-2.57,2.03-2.57,3.18-3.82,3.18-3.82

nsile strength,,,,,,
2 in. [50 mm] and under,65-85,[450-585],70-90,[485-620],80-100,[550-690]
Over 2 in. [50 mm],65-85,[450-585],70-90,[485-620},75-95,[515-655]
eld strength, min,,,,,,
2 in. [50 mm] and under,37,[255},40,[275],55,[380}
Over 2 in. [50 mm],37,[255],40,[275],50,[345]
