Nut Analysis,,Carbon,min,max,max
0, A, B, C heat,,0.55 max,,0.12,0.15(A)
product,,0.58 max,,0.13 (B),
D (Cl heat,,0.55 max,0.30,0.04,0.05
product,,0.58 max,0.27,0.048,0.058
heat,,0.20-0.55,0.60,0.04,0.05
DH (Cl product,,0.18-0.58,0.57,0.048,0.058
