0,1⁄4t o 11⁄2,square,69 52,103.0,,302.0,855,C32
A,1⁄4t o 11⁄2,square,90 68,116.0,,302.0,868,C32
0,1⁄4t o 11⁄2,hex,69 52,103.0,,302.0,855,C32
A,1⁄4t o 11⁄2,hex,90 68,116.0,,302.0,868,C32
8,1⁄4t o 1,hex,120 90,121.0,,302.0,869,C32
8 ',11/s to 11⁄2,hex,105 79,121.0,,302.0,869,C32
D (Cl,1⁄4t o 11⁄2,hex,135 135,159.0,,352.0,884,C38
DH (D),1⁄4t o 11⁄2,hex,150 150,248.0,,352.0,C24,C38
DH3,1⁄2 to 1,hex,150 150,248.0,,352.0,C24,C38
A,1⁄4t o 4,heavy hex,100 75,116.0,,302.0,868,C32
8,1⁄4t o 1,heavy hex,133 100,121.0,,302.0,869,C32
8,11/s to 11⁄2,heavy hex,116 87,121.0,,302.0,869,C32
C (Cl,1⁄4t o 4,heavy hex,144 144,143.0,,352.0,878,C38
C3,1⁄4t o 4,heavy hex,144 144,143.0,,352.0,878,C38
D (Cl,1⁄4t o 4,heavy hex,150 150,159.0,,352.0,884,C38
DH (D),1⁄4t o 4,heavy hex,175 150,248.0,,352.0,C24,C38
DH3,1⁄4t o 4,heavy hex,175 150,248.0,,352.0,C24,C38
A,1⁄4t o 11⁄2,hex thick,100 75,116.0,,302.0,868,C32
8,l 1⁄4t o l,hex thick,133 100,121.0,,302.0,869,C32
8,11/s to 11⁄2,hex thick,116 87,121.0,,302.0,869,C32
D (Cl,1⁄4t o 11⁄2,hex thick,150 150,159.0,,352.0,884,C38
DH (D),1⁄4t o 11⁄2,hex thick,175 175,248.0,,352.0,C24,C38
,,,Nuts with UN F, 12 UN, and Finer Pitch Threads,,,,,
0,1⁄4t o 11⁄2,hex,65 49,103.0,,302.0,855,C32
A,1⁄4t o 11⁄2,hex,80 60,116.0,,302.0,868,C32
8,1⁄4t o 1,hex,109 82,121.0,,302.0,869,C32
8,11/s to 11⁄2,hex,94 70,121.0,,302.0,869,C32
D (Cl,1⁄4t o 11⁄2,hex,135 135,159.0,,352.0,884,C38
DH (D),1⁄4t o 11⁄2,hex,150 150,248.0,,352.0,C24,C38
A,1⁄4t o 4,heavy hex,90 68,116.0,,302.0,868,C32
8,1⁄4t o 1,heavy hex,120 90,121.0,,302.0,869,C32
8,11/s to 11⁄2,heavy hex,105 79,121.0,,302.0,869,C32
D (Cl,1⁄4t o 4,heavy hex,150 150,159.0,,352.0,884,C38
DH (D),Xi to 4,heavy hex,175 150,248.0,,352.0,C24,C38
A,1⁄4t o 11⁄2,hex thick,90 68,116.0,,302.0,868,C32
8,1⁄4t o 1,hex thick,120 90,121.0,,302.0,869,C32
8,11/s to 11⁄2,hex thick,105 79,121.0,,302.0,869,C32
D (Cl,1⁄4t o 11⁄2,hex thick,150 150,159.0,,352.0,884,C38
DH (D),1⁄4t o 11⁄2,hex thick,175 175,248.0,,352.0,C24,C38
