Over,Through,,Thickness Tolerances Over, mm, No Tolerance Under0,,,
,1800,0.10,0.15 0.20,0.25,,0.3
1800,2000,D,0.15 0.20,0.3,,0.35
D 2000,D,,0.30 0.30,0.35,,0.4

Over 600 to 1200, incl,0.22,0.26,0.3,0.34
Over 1200 to 1500, incl,0.26,0.26,0.3,0.38
Over 1500 to 1800, incl,0.26,0.3,0.3,0.42
Over 1800,0.26,0.3,0.3,0.45
