S17600 635,0.08,1.0,0.04,0.03,1.0,16.00-17.50,6.00-7.50,0.4,...,0.40-1.20,. ..,. ..,i

S17700,631,0.09,1.0,0.04,0.03,1.0,16.00-18.00,6.50-7.75,0.75-1.50,...,. ..,. .. . ..
S15700,632,0.09,1.0,0.04,0.03,1.0,14.00-16.00,6.50-7.75,0.75-1.50,2.00-3.00,...,. .. . ..

'e°r,,S13800,XM-13,0.05,0.2,0.01,0.008,0.1,12.25-13.25,7.50-8.50,0.90-1.35,2.00-2.50,...,. .. £,
'°,S45500,XM-16,0.03,0.5,0.015,0.015,0.5,11.00-12.50,7.50-9.50 -,...,0.50,0.90-1.40,F 1.50-2.50,~ =

S45503,. . .,0.01,0.5,0.01,0.01,0.2,11.00-12.50,7.50-9.50,...,0.50,1.00-1.35,1.50-2.50,,~
,,,,,,,,,,,,,G,N
S45000,XM-25,0.05,1.0,0.03,0.03,1.0,14.00-16.00,5.00-7.00,...,0.50-1.00,. ..,1.25-1.75,,0
