304N,S30451,150 000 1035,,llO 000 760,,6 8,8
304LN,S30453,150 000 1035,,llO 000 760,,6 7,7
316,S31600,150 000 1035,,llO 000 760,,6 7,7
316L,S31603,150 000 1035,,llO 000 760,,5 6,6
316N,S31651,150 000 1035,,llO 000 760,,6 8,8
,,,,3/4 Hard,,,
,,Tensile Strength, min,,Yield Strength, min,,Elongation in 2 in. or 50 mm,,min, %
,UNS,,,,,<". 0.015 to,
Type,Designation,psi MPa,,psi MPa,,< 0.015 in. ::; 0.030 in.,> 0.030 in.
201,S20100,175 000 1205,,135 000 930,,10 12,12
205,S20500,175 000 1205,,135 000 930,,15 15,15
301,S30100,175 000 1205,,135 000 930,,10 12,12
302,S30200,175 000 1205,,135 000 930,,5 6,6
,,,,Full Hard,,,
,,Tensile Strength, min,,Yield St1·ength, min,,Elongation in 2 in. or 50 mm, min, %,
,UNS,,,,,<". 0.015 to,
Type,Designation,psi MPa,,psi MPa,,< 0.015 in. s 0.030 in.,> 0.030 in.
201,S20100,185 000 1275,,140 000 965,,8 9,9
205,S20500,185 000 1275,,140 000 965,,10 10,10
301,S30100,185 000 1275,,140 000 965,,8 9,9
302,S30200,185 000 1275,,140 000 965,,3 4,4
