incl,to 0.059, incl,to 0.070, incl,0.082, incl,0.098, incl,0.180, excl,0.230, excl

Over 15 to 20, incl 0.010,0.012,0.014,0.014,,0.014,0.016,0.016
Over 20 to 32, incl 0.012,0.012,0.014,0.014,,0.014,0.016,0.018
Over 32 to 40, incl 0.012,0.012,0.014,0.014,,0.016,0.016,O.Q18
Over 40 to 48, incl 0.012,0.014,0.014,0.014,,0.016,0.02,0.020
Over C 48 to 60, incl,0.014,0.014,0.014,,0.016,0.02,0.020
Over 60 to 72, incl C,C,0.016,0.016,,O.Q18,0.022,0.022
Over 72 to 80, incl C,C,C,0.016,,0.018,0.024,0.024
Over C 80 C,C,C,,,0.020,0.024,0.024°
