,Desianation8,,,,,,,,,,,
TP 201,s20100,0.15,5.50--7.5,0.06,0.030,1.00,16.0-18.0,3.5--5.5,...,0.25,.. .,...
TP 201LN,620153,0.03,6.4-7.5,0.045,O.Q15,0.75,16.0-17.5,4.0-5.0,...,0.10-0.25,1.00,...
TP202,820200,0.15,7.5-10.0,0.06,0.030,1.00,17.0-19.0,4.0-6.0,...,0.25,.. .,...
TPXM-19,820910,0.06,4.0-6.0,0.045,0.030,1.00,20.5-23.5,11.5-13.5,1.50-3.00,0.20-0.40,...,NbG 0.10-0.30
,,,,,,,,,,,,V 0.10-0.30
TPXM-29,824000,0.08,11.5-14.5,0.06,0.030,1.00,17.0-19.0,2.3-3.7,...,0.20--0.40,.. .,...
TP304,$30400,0.08,2.00,0.045,0.030,1.00,18.0-20.0,8.0-11.0,...,...,.. .,.. .
TP304L0,S30403,0.030,2.00,0.045,0.030,1.00,18.0-20.0,8.0-12.0,...,...,.. .,.. .
TP304H,830409,0.04-0.10,2.00,0.045,0.030,1.00,18.0-20.0,8.0-11.0,...,...,.. .,.. .
...,S30415,0.04-0.06,0.80,0.045,0.030,1.00-2.00,18.0-19.0,9.0-10.,.. .,0.12--0.18,...,Ce
,,,,,,,,,,,,0.03--0.08
TP304N,S30451,0.08,2.00,0.045,0.030,1.00,18.0-20.0,8.0-11.0,...,0.10-0.16,.. .,...
TP304LN°,S30453,0.030,2.00,0.045,0.030,1.00,18.0-20.0,8.0-11.0,...,0.10-0.16,.. .,...
TP305,S30500,0.12,2.00,0.045,0.030,1.00,17.0-19.0,11.0-13.0,...,.. .,.. .,...
...,S30615,0.16--0.24,2.00,0.03,0.030,3.2-4.0,17.0-19.5,13.5-16.0,...,.. .,.. .,...
...,S30815,0.05--0.10,0.80,0.04,0.030,1.40-2.00,20.0-22.0,10.0-12.0,...,0.14--0.20,...,Ce
,,,,,,,,,,,,0.03--0.08
TP309S,830908,0.08,2.00,0.045,0.030,1.00,22.0-24.0,12.0-15.0,...,.. .,.. .,...
TP309H,ls30909,0.04--0.10,2.00,0.045,0.030,1.00,22.0-24.0,12.0-15.0,...,...,.. .,.. .

,,,Desianation8,,,,,,,,,,,,~
,...,,S30601,O.Q15,0.50-0.80,0.03,O.Q13,5.0-5.6,17.0-18.0,17.0-18.0,0.20,0.05,0.35,...,0:,
w,TP309Cb,,S30940,0.08,2.00,0.045,0.030,1.00,22.0-24.0,12.0-16.0,...,.. .,.. .,Nb 10x,
(J1,,,,,,,,,,,,,,C-1.10,
-....:i,,,,,,,,,,,,,,,
,TP309HCb,,S30941,0.04--0.10,2.00,0.045,0.030,1.00,22.0-24.0,12.0-16.0,...,...,.. .,Nb 10x,~

,,,,,,,,,,,,,0
TP310H,S31009,0.04-0.10,2.0,0.045,0.03,1.0,24.0-26.0,19.0-22.0,...,.. .,.. .,.. .,N

TP310Cb,S31040,0.08,2.00,0.045,0.030,1.00,24.0-26.0,18.0-22.0,...,.. .,.. .,Nb 10x,
,,,,,,,,,,,,C-1.10,
TP310HCb,S31041,0.04-0.10,2.00,0.045,0.030,1.00,24.0-26.0,19.0-22.0,...,.. .,.. .,Nb 10x,
,,,,,,,,,,,,C-1.10,
...,S31050,0.030,2.00,0.030,O.Q15,0.40,24.0-26.0,21.0-23.0,2.00-3.00,0.10-0.16,.. .,.. .,
...,S31254,0.020,1.00,0.030,0.010,0.80,19.5-20.5,17.5-18.5,6.0-6.5,0.18--0.25,0.50-1.00,.. .,
...,S31266,0.030,2.00-4.00,0.035,0.020,1.00,23.0-25.0,21.0.-:24.0,5.2--6.2,0.35--0.60,1.00-2.50,w,
,,,,,,,,,,,,1.50-2.50,
...,S31277,0.020,3.00,0.030,0.010,0.50,20.5-23.0,26.0-28.0,6.5-8.0,0.30-0.40,0.50-1.50,.. .,
TP316,S31600,0.08,2.00,0.045,0.030,1.00,16.0-18.0,10.0-14.0,2.00-3.00,...,.. .,.. .,
TP316L0,S31603,0.030,2.00,0.045,0.030,1.00,16.0-18.0,10.0-14.0,2.00-3.00,...,.. .,.. .,
TP316H,S31609,0.04-0.10,2.00,0.045,0.030,1.00,16.0-18.0,10.0-14.0,2.00-3.00,...,.. .,.. .,
TP316N,S31651,0.08,2.00,0.045,0.030,1.00,16.0-18.0,10.0-13.0,2.00-3.00,0.10-0.16,...,.. .,
TP316LN°,S31653,0.030,2.00,0.045,0.030,1.00,16.0-18.0,10.0-13.0,2.00-3.00,0.10-0.16,...,.. .,
,S31655,0.030,2.00,0.045,O.Q15,1.00,19.5-21.5,8.0-9.5,0.50-1.50,0.14--0.25,1.00,...,
TP317,S31700,0.08,2.00,0.045,0.030,1.00,18.0-20.0,11.0-15.0,3.0-4.0,...,.. .,.. .,
TP317L,S31703,0.030,2.00,0.045,0.030,1.00,18.0-20.0,11.0-15.0,3.0-4.0,...,.. .,.. .,
,,,,,,Comoosition, %,,,,,,,~N
Grade,UNS,Carbon,Manganese,Phosphorous,Sulfur,Silicon,Chromium,Nickel,Molybdenum,Nitrogen..,,Copper,Other,:t
,Desianation8,,,,,,,,,,,,
...,S31725,0.030,2.00,0.045,0.030,1.00,18.0-20.0,13.5-17.5,4.0-5.0,0.20,.. .,.. .,)
...,S31726,0.030,2.00,0.045,0.030,1.00,17.0-20.0,14.5-17.5,4.0-5.0,0.10-0.20,.. .,.. .,N
...,S31727,0.030,1.00,0.030,0.030,1.00,17.5-19.0,14.5-16.5,3.8-4.5,0.15--0.21,2.8-4.0,.. .,:t
...,S32050,0.030,1.50,0.035,0.020,1.00,22.0-24.0,20.0-23.0,6.0-6.8,0.21-0.32,0.40,.. .,3:
