,Phosphorus 0.030,0.030,0.030,0.010,O.Q15,0.020,O.Q15,
,Sulfur 0.030,0.025,0.015,0.005,0.005,0.008,0.015,
,Silicon 0.15-0.50,0.15-0.50,0.15-0.50,0.05-0.25,0.05-0.30,0.10-0.45,0.04--0.15E,
,Copper 0.35,0.35,0.35,0.50,0.35,0.40,,
,Nickel 0.25,0.60,0.25,1.0-5.0,0.60,0.85,6.0-7.5,
,Chromium 0.25,0.25,0.25,0.30,0.30,0.30,0.30-1.00,
,Molybdenum 0.08,0.30,0.08,0.40,0.30,0.50,0.30,~ ::
,Columbium (Niobium)F 0.03,0.03,0.06,0.05,0.08,0.10,,tO!
,Vanadium 0.06,0.06,0.06,0.02,0.06,0.09,,
I-'- 0.006-0.03 w,Titanium G,G,0.006-0.02,,G,H,,
(.fl,Boron,,,0.0005-0.002,0.0007,0.0007,,~
co,,,,,,,,;..,
,Aluminum, min 0.020 total or,0.020 total or,,,0.020 total or,0.020 total or,E,
,O.Q15 acid,0.015 acid,,,0.015 acid,0.015 acid,0.008 acid soluble,~
,,,,,,,,N
,solubleG,solubleG,,,solubleG,solubleH,,c:,
