ignator Designator,Diameter,,,,,,
,,in. [mm],End, lb/ft [kg/m],,,
,in.[mm],,,,,
,,,,,,Grade A Grade B
,,0.500 [12.70],104.23 [155.12],XS,30.0,900 [6200] 1050 [7200]
,,0.594 [15.09],123.23 [183.42],,40.0,1170 [8100] 1250 [8600]
,,0.812 [20.62],166.56 [247.83],,60.0,1460 [10 100] 1710 [11 800]
,,1.031 [26.19],209.06 [311.17],,80.0,1860 [12 800] 2170 [15 000]
,,1.281 [32.54],256.34 [381.53],,100.0,2310 [15 900] 2690 [18 500]
,,1.500 [38.10],296.65 [441.49],,120.0,2700 [18 600] 2800 [19 300]
,,1.750 [44.45],341.41 [508.11],,140.0,2800 [ 19 300] 2800 [19 300]
,,1.969 [50.01 l,379.53 [564.81],,160.0,2800 [19 300] 2800 [19 300]
24 600,24.000 [61 OJ,0.250 [6.35],63.47  [94.46],,10.0,380 [2600] 440 [3000]
,,0.281 [7.14],71.25 [106.08],,,420(2900] 490 [3400]
,,0.312 [7.92],79.01 [117.51],,,470 [3200] 550 [3800]
,,0.344 [8.74],86.99 [129.50],,,520 [3600] 600 [4100]
,,0.375 [9.52],94. 71 [140.88],STD,20.0,560 [3900] 660 [4500]
,,0.406 [10.31],102.40 [152.37],,,610 [4200] 710 [4900]
,,0.438 [11.13],110.32 [164.26],,,660 [4500] 770 [5300]
,,o.469 [11.91 l,117.98 [175.54],,,700 [4800] 820 [5700]
,,0.500 [12.70],125.61 [186.94],XS,,750 [5200] 880 [6100]
,,0.562 [14.27],140.81 [209.50],,30.0,840 [5800] 980 [6800]
,,0.688 [17.48],171.45 [255.24],,40.0,1030 [7100] 1200 [8300]
,,0.938 [23.83],231.25 [344.23],,,1410 [9700] 1640 [11 300]
,,0.969 [24.61],238.57 [355.02],,60.0,1450 [10 000] 1700[11 700]
,,1.219 [30.96],296.86 [441.78],,80.0,1830 [12 600] 2130 [14 700]
,,1.531 [38.89],367.74 [547.33],,100.0,2300 [15 900] 2680 [18 500]
,,1.812 [46.02],429.79 [639.58],,120.0,2720 [18 800] 2800 [19 300]
,,2.062 [52.37],483.57 [719.63],,140.0,2800 [19 300] 2800 [19 300]
,,2.344 [59.54],542.64 [807.63],,160.0,2800 [19 300] 2800 [19 300]
26 650,26.000 [660],0.250 [6.35],68.82 [102.42],,,350 [2400] 400 [2800]
,,0.281 [7.14],77.26 [115.02],,,390 [2700] 450 [3100]
,,0.312 [7.92],85.68 [127.43],,10.0,430 [3000] 500 [3400]
,,0.344 [8.74],94.35 [140.45],,,480 [3300] 560 [3900]
,,0.375 [9.52],102. 72 [152.80],STD,,520 [3600] 610 [4200]
,,0.406 [10.31],111.08 [165.28],,,560 [3900] 660 [4500]
,,0.438 [11.13],119.69 [178.20],,,610 [4200] 710 [4900]
,,0.469 [11.91 J,128.00 [190.46],,,650 [4500] 760 [5200]
,,0.500 [12.70],136.30 [202.85],XS,20.0,690 [4800] 810 [5600]
,,0.562 [14.27],152.83 [227.37],,,780(5400] 910 [6300]
