Size and Thickness, in.,,Area, in.2,Size and Thickness, mm,,Area, mm2
,Foot, lb,,,Metre, kg,

L4x3x1⁄2,11.1,3.25,L102 x 76 x 12.7,16.4,2 100
L4x3x%,8.5,2.48,L102 x 76 x 9.5,12.6,1 600
L4 x 3 l< •As,7.2,2.09,L102 x 76 x 7.9,10.7,1 350
L4x3x1⁄4,5.8,1.69,L102 x 76 x 6.4,8.6,1 090
L31⁄2x3x1⁄2,10.2,3.0,L89 x 76 x 12.7,15.1,1 940
L31⁄2 X 3 X 7/1•,9.1,2.65,L89 x 76 x 11.1,13.5,1 710
L31⁄2x3x%,7.9,2.3,L89 X 76 X 9.5,11.7,1 480
L31⁄2 x 3 x 6/1s,6.6,1.93,L89 X 76 X 7.9,9.8,1 250
L31⁄2x3x1⁄4,5.4,1.56,L89 x 76 x 6.4,8.0,1 010
L31⁄2x21⁄2x1⁄2,9.4,2.75,L89 X 64 X 12.7,13.9,770
L31⁄2x21⁄2x%,7.2,2.11,L89 X 64 X 9.5,10.7,360
L31⁄2 X 21⁄2 X 6/,s,6.1,1.78,L89 X 64 X 7.9,9.0,150
L31⁄2 x21⁄2x 1⁄4,4.9,1.44,L89 X 64 X 6.4,7.3,929
L3x21⁄2x 1⁄2,8.5,2.5,L76 X 64 X 12.7,12.6,1 610
L3 X 21⁄2 x 7/,s,7.6,2.21,L76 X 64 X 11.1,11.3,1 430
L3x21⁄2x%,6.6,1.92,L76 X 64 X 9.5,9.8,1 240
L3 x 21⁄2 x 'Vi•,5.6,1.62,L76 X 64 X 7.9,8.3,1 050
L3 x21⁄2x 1⁄4,4.5,1.31,L76 X 64 X 6.4,6.7,845
L3 X 21⁄2 X 3/10,3.39,0.996,L76 x 64 x 4.8,5.1,643
L3x2x1⁄2,7.7,2.25,L76 x 51 x 12.7,11.5,450
L3x2x3/s,5.9,1.73,L76 X 51 X 9.5,8.8,120
L3 x 2 x 5/,e,5.0,1.46,L76 x 51 x 7.9,7.4,942
L3x2x1⁄4,4.1,1.19,L76 X 51 X 6.4,6.1,768
L3x2x3/10,3.07,0.902,L76 X 51 X 4.8,4.6,582
L21⁄2 X 2 X o/a,5.3,1.55,L64 X 51 X 9.5,7.9,1 000
L21⁄2 X 2 X 'Via,4.5,1.31,L64 x 51 x 7.9,6.7,845
L21⁄2x2 X 1⁄4,3.62,1.06,L64 x 51 x 6.4,5.4,684
L21⁄2 X 2 x o/te,2.75,0.809,L64 X 51 X 4.8,4.2,522
L21⁄2x 11⁄2x 1⁄4,3.19,0.938,L64 x 38 x 6.4,4.8,605
L21⁄2 X 11⁄2 X 3/10,2.44,0.715,L64 x 38 x 4.8,3.6,461
L2 X 11⁄2 X 1⁄4,2.77,0.813,L51 x 38 x 6.4,4.2,525
L2 x 11⁄2 x'1⁄2e,2.12,0.621,L51 X 38 X 4.8,3.1,401
L2x 11⁄2x1/a,1.44,0.422,L51 x 38 x 3.2,2.1,272
