3/s,3/s,5/10,3/16,3/16,1/s,1/rn,1/16
7/1s,7/16,5/is,1⁄4,3/15,1/s,1/s,1/16
1⁄2,1⁄2,3/s,5/16,3/16,3/15,1/s,1/i6
9/is,9/16,7/16,5/16,1⁄4,3/16,1/s,1/s
5/s,5/s,1⁄2,3/s,1⁄4,3/16,1/s,1/s
11/16,11/15,1⁄2,3/s,5/1s,3/rn,3/15,1/s
3⁄4,3⁄4,9/15,7/15,5/16,1⁄4,3/15,1/s
13/16,13/16,%,7/15,5/15,1⁄4,3/15,1/s
7/s,7/s,11/16,1⁄2,3/s,1⁄4,3/15,1/s
15/15,15/15,11/16,1⁄2,3/s,5/15,1⁄4,3/16
1,1,3⁄4,9/15,7/15,5/15,1⁄4,3/15
11/s,11/s,7/s,%,1⁄2,3/s,1⁄4,3/-15
11⁄4,11⁄4,iS/15,11/15,1⁄2,3/s,5/1e,1⁄4
13/s,13/s,11/16,3⁄4,9/15,7/15,5/1s,1⁄4
11⁄2,11⁄2,11/s,7/s,%,1⁄2,%,1⁄4
1%,15/s,11⁄4,15/15,11/rn,1⁄2,3/s,5/ie
13⁄4,13⁄4,15/15,1,3⁄4,9/15,7/15,5/15
F/s,F/s,F/16,11/16,1a11 6,9/1e,7/i6,5/16
2,2,11⁄2,11/s,7/s,5/s,1⁄2,%
21/s,21/s,15/s,13/16,7/s,11/15,1⁄2,%
21⁄4,21⁄4,111/16,11⁄4,15/16,11/1e,9/15,%
2%,23/s,113/15,1 5/16,1,3⁄4,9/is,7/ia
21⁄2,21⁄2,F/s,F/1s,11/16,13/15,9/15,7/15
25/s,2%,2,11⁄2,11/s,13/15,%,7/15
23⁄4,23⁄4,21/ia,19Aa,11/s,7/s,%,1⁄2
27/s,27/s,23Aa,1%,13/15,15/ie,11/Js,1⁄2
3,3,21⁄4,111/ia,11⁄4,15/is,11/16,9/,5
31/s,31/s,2%,13⁄4,15/16,1,3⁄4,9/15

Column,,1,2,3,4,5,6
Other than killed, 8 to 2 in., incl,,1/s in. max,any,over 1/s in. to1⁄4 in., incl,over 1 in.,1⁄4in.max,any
Killed, c to 6 in., incl,,1/10 in. max,any,over 1/16 in. to 1/s in., incl,over 1 in.,1/s in. max,any
Killed, cover 6 in.,,1/s in. max,any,over 1/s in. to 1⁄2 in., incl,over 1 in.,1⁄2in.max,any
